AREAS;TECHNOLOGIES;energyCost;margvarCost;capacityCost;EnergyNbhourCap;minCapacity;maxCapacity;RampConstraintPlus;RampConstraintMoins;RampConstraintPlus2;RampConstraintMoins2
FR;CCG;44.25;0.0005;56254.54;0;3000.0;6585.0;0.35;0.35;0;0
FR;TAC;62.68;0.0;56215.95;0;0.0;703.0;0.0;0.0;0;0
FR;OldNuke;5.8;0.0;224108.1;0;55000;61400;0.08;0.08;0;0
FR;NewNuke;10.0;0.0;336205.7;0;1300;1300;0.0;0.0;0;0
FR;WindOnShore;0.0;0.0;130907.17;0;17178.0;33000;0.0;0.0;0;0
FR;WindOffShore;0.0;0.0;226931.93;0;14.0;5000;0.0;0.0;0;0
FR;HydroRiver;0.0;0.0;211567.58;0;13000;13000;0.0;0.0;0;0
FR;Solar;0.0;0.0;51791.78;0;7170.0;40000;0.0;0.0;0;0
FR;HydroReservoir;0.0;0.0;211567.58;2100;7000;7000;0.0;0.0;0;0
FR;Biomass;60.0;0.0005;293490.30;0;1500;1500;0.15;0.15;0;0
FR;Coal;43.91;0.0005;130526.22;0;0.0;0.0;0.15;0.15;0;0
FR;Lignite;41.07;0.0005;139745.93;0;0.0;0.0;0.15;0.15;0;0
FR;curtailment;60000.0;0.0;0.0;0;30000.0;30000.0;0.0;0.0;0;0
DE;CCG;44.25;0.0005;56254.54;0;9000.0;25362.0;0.35;0.35;0;0
DE;TAC;62.68;0.0;56215.95;0;5000.0;10888.0;0.0;0.0;0;0
DE;Coal;43.91;0.0005;130526.22;0;8003.0;17956.0;0.15;0.15;0;0
DE;Lignite;41.07;0.0005;139745.93;0;9096.0;15197.0;0.15;0.15;0;0
DE;WindOnShore;0.0;0.0;130907.17;0;55630.0;60082.0;0.0;0.0;0;0
DE;WindOffShore;0.0;0.0;226931.93;0;7787.0;15004.0;0.0;0.0;0;0
DE;HydroRiver;0.0;0.0;211567.58;0;3800.0;3800.0;0.0;0.0;0;0
DE;Solar;0.0;0.0;51791.78;0;56309.0;71880.0;0.0;0.0;0;0
DE;HydroReservoir;0.0;0.0;211567.58;700;1400.0;1400.0;0.0;0.0;0;0
DE;Biomass;60.0;0.0005;293490.30;0;6226.0;6226.0;0.15;0.15;0;0
DE;OldNuke;5.8;0.0;224108.1;0;0.0;0.0;0.08;0.08;0;0
DE;NewNuke;10.0;0.0;336205.7;0;0.0;0.0;0.0;0.0;0;0
DE;curtailment;60000.0;0.0;0.0;0;30000.0;30000.0;0.0;0.0;0;0
GB;CCG;44.25;0.0005;56254.54;0;20000.0;44500.0;0.35;0.35;0;0
GB;TAC;62.68;0.0;56215.95;0;0.0;1000.0;0.0;0.0;0;0
GB;WindOnShore;0.0;0.0;130907.17;0;13932.0;22000.0;0.0;0.0;0;0
GB;WindOffShore;0.0;0.0;226931.93;0;12160.0;30000.0;0.0;0.0;0;0
GB;HydroRiver;0.0;0.0;211567.58;0;2000.0;2000.0;0.0;0.0;0;0
GB;OldNuke;5.8;0.0;224108.1;0;1900.0;4000.0;0.08;0.08;0;0
GB;NewNuke;10.0;0.0;336205.7;0;3300.0;3300.0;0.0;0.0;0;0
GB;Solar;0.0;0.0;51791.78;0;13470.0;17000.0;0.0;0.0;0;0
GB;Biomass;60.0;0.0005;293490.30;0;0.0;2500.0;0.15;0.15;0;0
GB;Coal;43.91;0.0005;130526.22;0;0.0;0.0;0.15;0.15;0;0
GB;Lignite;41.07;0.0005;139745.93;0;0.0;0.0;0.15;0.15;0;0
GB;HydroReservoir;0.0;0.0;211567.58;0;0.0;0.0;0.0;0.0;0;0
GB;curtailment;60000.0;0.0;0.0;0;20000.0;20000.0;0.0;0.0;0;0
CH;OldNuke;5.8;0.0;224108.1;0;1220.0;2600.0;0.08;0.08;0;0
CH;Solar;0.0;0.0;51791.78;0;2520.0;7650.0;0.0;0.0;0;0
CH;HydroRiver;0.0;0.0;211567.58;0;528.5;528.5;0.0;0.0;0;0
CH;HydroReservoir;0.0;0.0;211567.58;1900;5588.0;5588.0;0.0;0.0;0;0
CH;WindOnShore;0.0;0.0;130907.17;0;100.0;180.0;0.0;0.0;0;0
CH;CCG;44.25;0.0005;56254.54;0;580.0;580.0;0.35;0.35;0;0
CH;TAC;62.68;0.0;77782.47;0;0;0;0.0;0.0;0;0
CH;Coal;43.91;0.0005;130526.22;0;0.0;0.0;0.15;0.15;0;0
CH;Lignite;41.07;0.0005;139745.93;0;0.0;0.0;0.15;0.15;0;0
CH;WindOffShore;0.0;0.0;226931.93;0;0.0;0.0;0.0;0.0;0;0
CH;Biomass;60.0;0.0005;293490.30;0;400.0;400.0;0.15;0.15;0;0
CH;NewNuke;10.0;0.0;336205.7;0;0.0;0.0;0.0;0.0;0;0
CH;curtailment;60000.0;0.0;0.0;0;0.0;15000.0;0.0;0.0;0;0
IT;CCG;44.25;0.0005;56254.54;0;21000.0;50000.0;0.35;0.35;0;0
IT;TAC;62.68;0.0;56215.95;0;0.0;0.0;0.0;0.0;0;0
IT;WindOnShore;0.0;0.0;130907.17;0;10302.0;12600.0;0.0;0.0;0;0
IT;WindOffShore;0.0;0.0;226931.93;0;0.0;1000.0;0.0;0.0;0;0
IT;HydroRiver;0.0;0.0;211567.58;0;10472.0;10472.0;0.0;0.0;0;0
IT;Solar;0.0;0.0;51791.78;0;20000.0;30500.0;0.0;0.0;0;0
IT;HydroReservoir;0.0;0.0;211567.58;1800;4454.0;4454.0;0.0;0.0;0;0
IT;Coal;43.91;0.0005;130526.22;0;0.0;0.0;0.15;0.15;0;0
IT;Lignite;41.07;0.0005;139745.93;0;0.0;0.0;0.15;0.15;0;0
IT;Biomass;60.0;0.0005;293490.30;0;4800.0;5800.0;0.15;0.15;0;0
IT;OldNuke;5.8;0.0;224108.1;0;0.0;0.0;0.08;0.08;0;0
IT;NewNuke;10.0;0.0;336205.7;0;0.0;0.0;0.0;0.0;0;0
IT;curtailment;60000.0;0.0;0.0;0;20000.0;20000.0;0.0;0.0;0;0
BE;CCG;44.25;0.0005;56254.54;0;1500.0;9030.0;0.35;0.35;0;0
BE;TAC;62.68;0.0;56215.95;0;1000.0;2270.0;0.0;0.0;0;0
BE;WindOnShore;0.0;0.0;130907.17;0;2629.0;2800.0;0.0;0.0;0;0
BE;WindOffShore;0.0;0.0;226931.93;0;2254.0;2300.0;0.0;0.0;0;0
BE;HydroRiver;0.0;0.0;211567.58;0;200.0;200.0;0.0;0.0;0;0
BE;Solar;0.0;0.0;51791.78;0;4788.0;7800.0;0.0;0.0;0;0
BE;Biomass;60.0;0.0005;293490.30;0;400.0;400.0;0.15;0.15;0;0
BE;OldNuke;5.8;0.0;224108.1;0;0.0;5943.0;0.08;0.08;0;0
BE;NewNuke;10.0;0.0;336205.7;0;0.0;0.0;0.0;0.0;0;0
BE;HydroReservoir;0.0;0.0;211567.58;0;0.0;0.0;0.0;0.0;0;0
BE;Coal;43.91;0.0005;130526.22;0;0.0;0.0;0.15;0.15;0;0
BE;Lignite;41.07;0.0005;139745.93;0;0.0;0.0;0.15;0.15;0;0
BE;curtailment;60000.0;0.0;0.0;0;0.0;15000.0;0.0;0.0;0;0
ES;CCG;44.25;0.0005;56254.54;0;14000.0;29000.0;0.35;0.35;0;0
ES;TAC;62.68;0.0;56215.95;0;0.0;0.0;0.0;0.0;0;0
ES;Coal;43.91;0.0005;130526.22;0;0.0;2165.0;0.15;0.15;0;0
ES;Lignite;41.07;0.0005;139745.93;0;0.0;0.0;0.15;0.15;0;0
ES;WindOnShore;0.0;0.0;130907.17;0;26664.0;36350.0;0.0;0.0;0;0
ES;WindOffShore;0.0;0.0;226931.93;0;0.0;1650.0;0.0;0.0;0;0
ES;HydroRiver;0.0;0.0;211567.58;0;1000.0;1000.0;0.0;0.0;0;0
ES;Solar;0.0;0.0;51791.78;0;11390.0;21000.0;0.0;0.0;0;0
ES;HydroReservoir;0.0;0.0;211567.58;1300;16000.0;16000.0;0.0;0.0;0;0
ES;Biomass;60.0;0.0005;293490.30;0;613.0;1677.0;0.15;0.15;0;0
ES;OldNuke;5.8;0.0;224108.1;0;3181.0;7399.0;0.08;0.08;0;0
ES;NewNuke;10.0;0.0;336205.7;0;0.0;0.0;0.0;0.0;0;0
ES;curtailment;60000.0;0.0;0.0;0;20000.0;20000.0;0.0;0.0;0;0
