TECHNOLOGIES;energyCost;capacityCost;EnergyNbhourCap;minCapacity;maxCapacity;RampConstraintPlus;RampConstraintMoins;RampConstraintPlus2;RampConstraintMoins2
CCG;125,4444709;82152,86758;0;0;0;0,06;0,06;0;0
TAC;173,1661741;51022,63905;0;0;0;0;0;0;0
OldNuke;10;217684,8231;0;15520;15520;0,04;0,04;0;0
NewNuke;10;307550,8591;0;25080;25080;0,04;0,04;0;0
WindOnShore;0;75045,2781;0;37000;37000;0;0;0;0
WindOffShore;0;99154,36166;0;40000;80000;0;0;0;0
HydroRiver;0;90418,16522;0;11030;11030;0;0;0;0
NewHydroRiver;0;163506,8217;0;0;1200;0;0;0;0
Solar;0;64170,07345;0;100000;200000;0;0;0;0
curtailment;3000;0;0;0;0;0;0;0;0
HydroReservoir;0;70577,84757;1636;8785;8785;0;0;0;0
Biomass;42;241817,5937;0;2031;3000;0,06;0,06;0;0
Coal;218,6791955;127728,4451;0;0;0;0,06;0,06;0;0