Jour;Heure;ECS en juin;ECS en janvier;Thermosensibilite (GW/degre)
Lundi;0;5736;7765;-144,0087414
Lundi;1;5250;7105;-131,6590514
Lundi;2;3702;5012;-92,97755113
Lundi;3;2129;2882;-53,44434809
Lundi;4;1633;2210;-40,95270763
Lundi;5;1892;2560;-47,41145355
Lundi;6;2351;3183;-59,05139125
Lundi;7;1237;1674;-31,01617545
Lundi;8;912;1234;-22,85402402
Lundi;9;739;1000;-18,524535
Lundi;10;576;780;-14,47894689
Lundi;11;1075;1456;-27,04156258
Lundi;12;2526;3420;-63,4518555
Lundi;13;1888;2556;-47,41145355
Lundi;14;1071;1451;-26,97058735
Lundi;15;779;1056;-19,66013867
Lundi;16;643;871;-16,18235241
Lundi;17;808;1093;-20,22794051
Lundi;18;953;1289;-23,84767724
Lundi;19;1153;1561;-28,95789379
Lundi;20;1283;1737;-32,22275436
Lundi;21;1819;2463;-45,70804803
Lundi;22;5410;7322;-135,7046395
Lundi;23;7159;9691;-179,709282
Mardi;0;5736;7765;-144,0087414
Mardi;1;5250;7105;-131,6590514
Mardi;2;3702;5012;-92,97755113
Mardi;3;2129;2882;-53,44434809
Mardi;4;1633;2210;-40,95270763
Mardi;5;1892;2560;-47,41145355
Mardi;6;2351;3183;-59,05139125
Mardi;7;1237;1674;-31,01617545
Mardi;8;912;1234;-22,85402402
Mardi;9;739;1000;-18,524535
Mardi;10;576;780;-14,47894689
Mardi;11;1075;1456;-27,04156258
Mardi;12;2526;3420;-63,4518555
Mardi;13;1888;2556;-47,41145355
Mardi;14;1071;1451;-26,97058735
Mardi;15;779;1056;-19,66013867
Mardi;16;643;871;-16,18235241
Mardi;17;808;1093;-20,22794051
Mardi;18;953;1289;-23,84767724
Mardi;19;1153;1561;-28,95789379
Mardi;20;1283;1737;-32,22275436
Mardi;21;1819;2463;-45,70804803
Mardi;22;5410;7322;-135,7046395
Mardi;23;7159;9691;-179,709282
Mercredi;0;5736;7765;-144,0087414
Mercredi;1;5250;7105;-131,6590514
Mercredi;2;3702;5012;-92,97755113
Mercredi;3;2129;2882;-53,44434809
Mercredi;4;1633;2210;-40,95270763
Mercredi;5;1892;2560;-47,41145355
Mercredi;6;2351;3183;-59,05139125
Mercredi;7;1237;1674;-31,01617545
Mercredi;8;912;1234;-22,85402402
Mercredi;9;739;1000;-18,524535
Mercredi;10;576;780;-14,47894689
Mercredi;11;1075;1456;-27,04156258
Mercredi;12;2526;3420;-63,4518555
Mercredi;13;1888;2556;-47,41145355
Mercredi;14;1071;1451;-26,97058735
Mercredi;15;779;1056;-19,66013867
Mercredi;16;643;871;-16,18235241
Mercredi;17;808;1093;-20,22794051
Mercredi;18;953;1289;-23,84767724
Mercredi;19;1153;1561;-28,95789379
Mercredi;20;1283;1737;-32,22275436
Mercredi;21;1819;2463;-45,70804803
Mercredi;22;5410;7322;-135,7046395
Mercredi;23;7159;9691;-179,709282
Jeudi;0;5736;7765;-144,0087414
Jeudi;1;5250;7105;-131,6590514
Jeudi;2;3702;5012;-92,97755113
Jeudi;3;2129;2882;-53,44434809
Jeudi;4;1633;2210;-40,95270763
Jeudi;5;1892;2560;-47,41145355
Jeudi;6;2351;3183;-59,05139125
Jeudi;7;1237;1674;-31,01617545
Jeudi;8;912;1234;-22,85402402
Jeudi;9;739;1000;-18,524535
Jeudi;10;576;780;-14,47894689
Jeudi;11;1075;1456;-27,04156258
Jeudi;12;2526;3420;-63,4518555
Jeudi;13;1888;2556;-47,41145355
Jeudi;14;1071;1451;-26,97058735
Jeudi;15;779;1056;-19,66013867
Jeudi;16;643;871;-16,18235241
Jeudi;17;808;1093;-20,22794051
Jeudi;18;953;1289;-23,84767724
Jeudi;19;1153;1561;-28,95789379
Jeudi;20;1283;1737;-32,22275436
Jeudi;21;1819;2463;-45,70804803
Jeudi;22;5410;7322;-135,7046395
Jeudi;23;7159;9691;-179,709282
Vendredi;0;5736;7765;-144,0087414
Vendredi;1;5250;7105;-131,6590514
Vendredi;2;3702;5012;-92,97755113
Vendredi;3;2129;2882;-53,44434809
Vendredi;4;1633;2210;-40,95270763
Vendredi;5;1980;2560;-41,16563332
Vendredi;6;2351;3183;-59,05139125
Vendredi;7;1237;1674;-31,01617545
Vendredi;8;912;1234;-22,85402402
Vendredi;9;739;1000;-18,524535
Vendredi;10;576;780;-14,47894689
Vendredi;11;1075;1456;-27,04156258
Vendredi;12;2526;3420;-63,4518555
Vendredi;13;1888;2556;-47,41145355
Vendredi;14;1071;1451;-26,97058735
Vendredi;15;779;1056;-19,66013867
Vendredi;16;643;871;-16,18235241
Vendredi;17;808;1093;-20,22794051
Vendredi;18;953;1289;-23,84767724
Vendredi;19;1153;1561;-28,95789379
Vendredi;20;1283;1737;-32,22275436
Vendredi;21;1819;2463;-45,70804803
Vendredi;22;5410;7322;-135,7046395
Vendredi;23;7159;9691;-179,709282
Samedi;0;6024;8152;-151,0352892
Samedi;1;5512;7461;-138,330723
Samedi;2;3888;5263;-97,59094107
Samedi;3;2236;3026;-56,0704316
Samedi;4;1715;2320;-42,94001407
Samedi;5;1986;2688;-49,82461137
Samedi;6;2469;3342;-61,96137567
Samedi;7;1299;1758;-32,57763051
Samedi;8;958;1296;-23,9896277
Samedi;9;775;1050;-19,51818821
Samedi;10;606;819;-15,11772396
Samedi;11;1129;1529;-28,39009195
Samedi;12;2652;3590;-66,57476562
Samedi;13;1982;2684;-49,82461137
Samedi;14;1125;1523;-28,24814149
Samedi;15;819;1108;-20,51184143
Samedi;16;676;915;-16,96307994
Samedi;17;848;1148;-21,29256896
Samedi;18;1001;1354;-25,05425614
Samedi;19;1211;1640;-30,44837361
Samedi;20;1347;1823;-33,78420942
Samedi;21;1910;2586;-47,97925539
Samedi;22;5680;7688;-142,5182616
Samedi;23;7517;10176;-188,7231362
Dimanche;0;6138;8308;-154,0162488
Dimanche;1;5617;7603;-140,9568065
Dimanche;2;3962;5362;-99,36532181
Dimanche;3;2278;3084;-57,20603527
Dimanche;4;1747;2365;-43,86269206
Dimanche;5;2024;2739;-50,74728936
Dimanche;6;2516;3406;-63,16795458
Dimanche;7;1323;1791;-33,21640758
Dimanche;8;976;1321;-24,4864543
Dimanche;9;790;1069;-19,80208913
Dimanche;10;617;835;-15,47260011
Dimanche;11;1150;1558;-28,95789379
Dimanche;12;2703;3659;-67,85231975
Dimanche;13;2020;2735;-50,74728936
Dimanche;14;1147;1552;-28,7449681
Dimanche;15;834;1129;-20,93769281
Dimanche;16;689;933;-17,31795609
Dimanche;17;865;1170;-21,64744511
Dimanche;18;1019;1380;-25,62205798
Dimanche;19;1234;1670;-30,94520022
Dimanche;20;1372;1858;-34,49396172
Dimanche;21;1947;2635;-48,83095815
Dimanche;22;5789;7835;-145,2153203
Dimanche;23;7661;10369;-192,2009225